CHRKINGDOMCODE,CHRRANKCODE,VCHRVALIDCHILDLIST,VCHRVALIDENDINGLIST,GUID
P    ,SSCT                ,"'SRS','SPG','SP'", ,350D4CFD-9893-11D3-A857-02608C403485
P    ,SSP                 ,"'V','FM'", ,350D4CFE-9893-11D3-A857-02608C403485
P    ,SSRS                ,"'SPG','SP'", ,350D4CFF-9893-11D3-A857-02608C403485
P    ,ST                  ,"'T','G'", ,350D4D00-9893-11D3-A857-02608C403485
P    ,SV                  ,'FM', ,350D4D01-9893-11D3-A857-02608C403485
P    ,T                   ,"'SBT','G'", ,350D4D02-9893-11D3-A857-02608C403485
P    ,V                   ,"'SV','FM'", ,350D4D03-9893-11D3-A857-02608C403485
P    ,SBP                 ,"'SPC','C','F','O'",,F1A56A28-F303-4FD6-8A41-84B00E6E7D69
P    ,P                   ,"'SBP','SPC','C','F','O'",,4CC84898-EC31-4660-8700-C3795EE9ED4E
L    ,C                   ,"'SBC','CHRT','SPO','O','F'", ,152E7362-824A-4D23-923B-FD81CC07AEE6
L    ,CHRT                ,"'SPO','O','F'", ,20FEAFDB-782B-4369-BCBB-28FDA4C33596
L    ,D                   ,"'SBD','SPC','C'", ,97225B91-9CCF-45A8-9F08-A12555789E5F
L    ,F                   ,"'SF','G'", ,ABA7A4A4-D58F-4803-85BE-97BE0C55E8DA
L    ,FM                  ,'SFM', ,A0629794-4590-4867-9AB8-9D5E8A101220
L    ,G                   ,"'SG','SCT','SGP','SP'", ,492D49AE-C817-4505-AA19-F9BA03A0FC3F
L    ,HO                  ,'F', ,C2EE5004-3778-439F-9D83-ADAB0943BDBD
L    ,INC                 ,"'CHRT','SPO','O','F'", ,F5027544-AAE4-40BE-BF67-C9CF4A7782CF
L    ,INO                 ,"'F','SPF'", ,202C0B8D-F3C3-4DF0-9BD3-FC70E086D777
L    ,KING                ,"'SKING','D'", ,275C3F82-F26F-4779-AA8B-C54E5E00C248
L    ,O                   ,"'F','SBO','SPF'", ,892BD9CB-779D-43CC-B74A-23B01519A3D2
L    ,P                   ,"'SBP','SPC','C','F','O'",,856D6FF6-A85E-4248-AF07-5D4E53755C6E
L    ,SBC                 ,"'INC','CHRT','SPO','O','F'", ,47154313-3B76-42EA-A7EA-5A5159AC1B71
L    ,SBD                 ,"'SPC','C'", ,FA89680B-D062-41B6-A836-5834328AB8FF
L    ,SBO                 ,"'F','INO','SPF'", ,C3A38327-29B3-4FB6-A4C9-CF117329702D
L    ,SBP                 ,"'SPC','C','F','O'",,CE83132C-AAED-4C06-9756-A34D4F9E653B
L    ,SBT                 ,'G', ,18F7F1BA-610B-4C28-8C24-21BD298FC660
L    ,SCT                 ,"'SSCT','SRS','SP'", ,4FE11D4A-EF91-4632-A22D-F6B2553E96A2
L    ,SF                  ,"'ST','T','G'", ,1D21C9FF-CC0D-4279-9E2F-EF16355744B9
